geo,unmet_need_pc_08,unmet_need_pc_08b,difference_08b_minus_08
EL,10.120000000000001,18.4,8.28
RS,4.68,8.42,3.7399999999999998
FI,7.0200000000000005,10.3,3.28
AL,10.4,13.666666666666666,3.266666666666667
RO,3.9200000000000004,6.859999999999999,2.94
EE,8.1,10.649999999999999,2.5499999999999994
IE,2.62,5.1,2.4799999999999995
ME,2.033333333333333,4.433333333333334,2.4
IT,1.9600000000000002,4.04,2.08
LV,6.640000000000001,8.66,2.0199999999999996
MK,2.275,4.025,1.75
SI,3.78,5.5200000000000005,1.7399999999999998
PT,2.6,4.279999999999999,1.6800000000000002
SE,1.9,3.34,1.44
PL,3.06,4.46,1.4
LT,3.34,4.46,1.12
SK,1.35,2.2,0.85
HR,1.34,2.12,0.78
ES,1.5,2.2800000000000002,0.7799999999999999
NL,0.36,1.1199999999999999,0.76
DK,3.0,3.75,0.75
HU,1.1800000000000002,1.8800000000000001,0.7000000000000001
CH,1.0,1.7,0.7
AT,0.6599999999999999,1.34,0.6799999999999999
LU,0.8800000000000001,1.56,0.6799999999999999
BG,1.04,1.52,0.48
FR,3.5,3.94,0.44000000000000006
TR,1.42,1.6800000000000002,0.2600000000000001
DE,0.48,0.74,0.26
NO,1.625,1.875,0.25000000000000006
BE,1.22,1.42,0.2
MT,0.18,0.38,0.2
CZ,0.33999999999999997,0.44000000000000006,0.1
CY,0.14,0.14,0.0
