year,outcome_rows,complete_case_rows,countries,rows_lost,retained_pct
2008,31,0,31,31,0.0
2009,31,0,31,31,0.0
2010,33,0,33,33,0.0
2011,33,0,33,33,0.0
2012,33,0,33,33,0.0
2013,35,0,35,35,0.0
2014,35,0,35,35,0.0
2015,35,30,35,5,85.71428571428571
2016,35,30,35,5,85.71428571428571
2017,36,30,36,6,83.33333333333333
2018,37,30,37,7,81.08108108108108
2019,36,30,36,6,83.33333333333333
2020,34,29,34,5,85.29411764705883
2021,34,29,34,5,85.29411764705883
2022,34,29,34,5,85.29411764705883
2023,34,28,34,6,82.3529411764706
2024,32,17,32,15,53.125
2025,30,0,30,30,0.0
