specification,interpretation,term,coef,se,p_value,ci_low,ci_high,nobs,countries,years,status,dropped_year
Leave out 2015,year influence,poverty_or_social_exclusion_pc,0.09927116499764435,0.059783965399402166,0.09681427622435199,-0.01790325403817264,0.21644558403346134,252,30,9,estimated,2015
Leave out 2016,year influence,poverty_or_social_exclusion_pc,0.21367492568477853,0.06189734854901575,0.0005562718850171543,0.09235835179018509,0.33499149957937197,252,30,9,estimated,2016
Leave out 2017,year influence,poverty_or_social_exclusion_pc,0.19346800673779058,0.07224190211559638,0.007405038565470042,0.05187648041655374,0.3350595330590274,252,30,9,estimated,2017
Leave out 2018,year influence,poverty_or_social_exclusion_pc,0.1838083695576243,0.07398821699747066,0.012980914998670786,0.03879412896224757,0.32882261015300107,252,30,9,estimated,2018
Leave out 2019,year influence,poverty_or_social_exclusion_pc,0.16743932452844643,0.07272746819525425,0.021319131972665887,0.02489610617896587,0.309982542877927,252,30,9,estimated,2019
Leave out 2020,year influence,poverty_or_social_exclusion_pc,0.1619301458454326,0.06791274665327758,0.01710768624069588,0.028823608313815474,0.29503668337704975,253,30,9,estimated,2020
Leave out 2021,year influence,poverty_or_social_exclusion_pc,0.18840006652450472,0.07476266919480937,0.011736312849930975,0.0418679275145962,0.3349322055344133,253,30,9,estimated,2021
Leave out 2022,year influence,poverty_or_social_exclusion_pc,0.2170947369652397,0.06922645999255742,0.0017126449286035538,0.08141336860262424,0.3527761053278552,253,30,9,estimated,2022
Leave out 2023,year influence,poverty_or_social_exclusion_pc,0.18783898303477883,0.07173202844464596,0.008828602176685322,0.04724679074527005,0.3284311753242876,254,30,9,estimated,2023
Leave out 2024,year influence,poverty_or_social_exclusion_pc,0.16111398192276438,0.07288079063466028,0.02706002440430735,0.01827025711402616,0.3039577067315026,265,30,9,estimated,2024
