variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
no_outcome,log_gdp_per_capita,604,4,10.073280130872783,9.20467253649501,8.714477082836265,7.29581406719659,11.308419551020663,11.247965919842118
no_outcome,gdp_per_capita_eur,604,4,31191.82119205298,15386.994935251954,6090.5,0.0,81505.0,52066.42777071133
no_outcome,unemployment_rate_pc,556,52,8.64658273381295,20.290468316298128,3.4,2.191642621375882,18.325000000000003,37.534650214052924
no_outcome,poverty_or_social_exclusion_pc,375,233,22.832533333333334,29.382378320319642,13.58,3.1943089587908986,39.230000000000004,58.51391315954834
no_outcome,government_health_expenditure_gdp_pc,502,106,6.281872509960159,7.196950935955594,3.005,0.8166055981661593,8.795,14.181358171014626
no_outcome,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,7.391722330174129,3.992,0.7175498953018372,9.373999999999999,14.079548366212961
no_outcome,gini_income,409,199,30.26234718826406,30.903498541321568,23.7,2.529894229388515,38.4,58.35407058753423
no_outcome,physicians_per_100k,431,177,358.74201856148494,472.85232460828587,240.42000000000002,41.30713842598214,467.22,951.5757275908811
no_outcome,hospital_beds_per_100k,522,86,488.3322030651341,792.8833728558548,246.412,72.29455234631112,779.202,1410.7657156549924
no_outcome,oop_health_expenditure_share_pc,444,164,20.654324324324325,30.385191665794387,10.1925,2.5504323341550896,38.369499999999974,55.56018939835939
no_outcome,long_term_unemployment_rate_pc,554,54,3.8494584837545123,14.263653176734934,0.7650000000000002,0.0,12.4,27.35691327834401
