model,train_start,train_end,test_year,mae,n_train,n_test
Ridge,2015,2017,2018,0.7165807152315741,60,30
Ridge,2015,2018,2019,0.4326080770796036,90,30
Ridge,2015,2019,2020,0.5376959479429122,120,29
Ridge,2015,2020,2021,0.514469154982394,149,29
Ridge,2015,2021,2022,0.6962462389536108,178,29
Ridge,2015,2022,2023,0.8343931325031335,207,29
Lasso,2015,2017,2018,0.5970710518180954,60,30
Lasso,2015,2018,2019,0.32683574055944553,90,30
Lasso,2015,2019,2020,0.5336884884278359,120,29
Lasso,2015,2020,2021,0.5257284167991207,149,29
Lasso,2015,2021,2022,0.6480217589432942,178,29
Lasso,2015,2022,2023,0.7979339502943172,207,29
Elastic Net,2015,2017,2018,0.622918418312128,60,30
Elastic Net,2015,2018,2019,0.3612846150115762,90,30
Elastic Net,2015,2019,2020,0.5362570939839706,120,29
Elastic Net,2015,2020,2021,0.5242702771675557,149,29
Elastic Net,2015,2021,2022,0.6659411533972277,178,29
Elastic Net,2015,2022,2023,0.8291894601196295,207,29
Random Forest,2015,2017,2018,0.5990333333333321,60,30
Random Forest,2015,2018,2019,0.39571666666666594,90,30
Random Forest,2015,2019,2020,0.5000862068965529,120,29
Random Forest,2015,2020,2021,0.6230862068965521,149,29
Random Forest,2015,2021,2022,0.5998793103448281,178,29
Random Forest,2015,2022,2023,0.7086034482758639,207,29
XGBoost,2015,2017,2018,0.7903151197110614,60,30
XGBoost,2015,2018,2019,0.39103776286045716,90,30
XGBoost,2015,2019,2020,0.5197937864681769,120,29
XGBoost,2015,2020,2021,0.6286153721398321,149,29
XGBoost,2015,2021,2022,0.7220160071192117,178,29
XGBoost,2015,2022,2023,0.8611907821277092,207,29
