model,label,row_set,universe,weighting,covariates,rows,countries,years,term,coef,ci_low,ci_high,p_value,status,interpretation
A,Poverty only,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion,375,36,11,poverty_or_social_exclusion_pc,0.15713899869729228,0.0503734188823667,0.2639045785122179,0.003917855310861283,estimated,social-gradient test before macro or system adjustment
B,Poverty + GDP + unemployment,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment,360,34,11,poverty_or_social_exclusion_pc,0.12678427589953764,0.00922933276803202,0.24433921903104328,0.03452873643019075,estimated,adds macroeconomic context with relatively high coverage
C,B + health financing,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing,282,30,10,poverty_or_social_exclusion_pc,0.17752062443808037,0.04578936472376924,0.30925188415239147,0.008260288895312988,estimated,baseline financing-augmented specification
D,C + capacity,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing; Physicians; Hospital beds,233,27,9,poverty_or_social_exclusion_pc,0.11172530551324908,-0.04839956465857498,0.27185017568507314,0.17145530642881968,estimated,adds capacity proxies and tests sample-loss cost
E,Full theory model,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing; OOP expenditure share; Physicians; Hospital beds; Gini; Long-term unemployment,231,27,9,poverty_or_social_exclusion_pc,0.10780774686549807,-0.0528739288606164,0.26848942259161257,0.18850384209131543,estimated,"broad conceptual model, highest covariate burden"
F,Reduced high-coverage model,Available covariate-complete rows,Full Eurostat-available,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Long-term unemployment,358,34,11,poverty_or_social_exclusion_pc,0.13195324095233987,0.014427946925219787,0.24947853497945996,0.027765898335455227,estimated,parsimonious macro-labour benchmark with higher coverage than system-expanded models
C-EU27,EU-27 baseline,Available covariate-complete rows,EU-27,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing,258,27,10,poverty_or_social_exclusion_pc,0.17932879257131015,0.034295460302707054,0.3243621248399132,0.015374760822639168,estimated,mandatory EU-27 universe comparison
C-PW,Population-weighted baseline,Available covariate-complete rows,Full Eurostat-available,Year-normalized population,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing,282,30,10,poverty_or_social_exclusion_pc,0.30406119203549603,-0.006626040113081488,0.6147484241840735,0.05509025142817982,estimated,resident-weighted selected-panel version
C-BO,Balanced-outcome baseline,Balanced-outcome country set; covariate-complete rows,Balanced outcome,Unweighted,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing,238,25,10,poverty_or_social_exclusion_pc,0.15363931619081297,0.05951482772225086,0.2477638046593751,0.0013778686619481063,estimated,coverage-restricted outcome/population target
C-BO-PW,Balanced-outcome weighted,Balanced-outcome country set; covariate-complete rows,Balanced outcome,Year-normalized population,Poverty/social exclusion; Log GDP/capita; Unemployment; Gov. health expenditure; Compulsory financing,238,25,10,poverty_or_social_exclusion_pc,0.14706691749368483,-0.02586882658872358,0.32000266157609325,0.09555813312269099,estimated,resident-weighted balanced-outcome target
