geo,first_year,last_year,observed_years,mean_unmet_need_pc,median_unmet_need_pc,min_unmet_need_pc,max_unmet_need_pc
AL,2017,2023,7,12.043,10.7,10.2,14.8
EE,2008,2025,18,10.15,8.8,4.3,16.4
LV,2008,2025,18,8.972,8.3,4.0,16.1
EL,2008,2025,18,8.956,8.9,5.4,13.1
XK,2018,2019,2,7.6,7.6,5.2,10.0
RO,2008,2025,18,7.233,5.85,2.2,12.2
TR,2008,2025,18,6.383,3.4,0.7,16.4
PL,2008,2025,18,5.456,5.1,1.9,9.0
RS,2013,2025,13,5.369,5.0,2.8,8.7
BG,2008,2025,18,4.9,2.45,1.0,15.3
FI,2008,2025,18,4.822,4.4,0.8,8.5
MK,2010,2024,15,4.18,2.9,1.1,11.4
IT,2008,2025,17,4.112,5.2,1.8,7.2
ME,2013,2023,11,3.909,2.7,1.6,11.3
IS,2008,2020,13,3.469,3.5,1.7,5.2
LT,2008,2025,18,2.939,2.9,1.4,5.7
IE,2008,2025,18,2.522,2.6,1.8,3.7
PT,2008,2025,18,2.428,2.45,1.1,3.5
HR,2010,2025,16,2.356,1.65,1.0,6.3
FR,2008,2025,18,2.317,2.25,1.0,4.1
SK,2008,2025,18,2.222,2.2,1.1,3.2
UK,2008,2018,11,1.918,1.4,1.0,4.5
CY,2008,2025,18,1.911,1.45,0.1,4.7
SI,2008,2025,18,1.822,1.55,0.0,4.8
SE,2008,2025,18,1.756,1.65,1.3,2.6
HU,2008,2025,18,1.733,1.4,0.7,3.4
DK,2008,2025,18,1.589,1.3,0.6,3.1
BE,2008,2025,18,1.522,1.6,0.4,2.5
NO,2008,2025,18,1.294,1.3,0.8,1.9
DE,2008,2025,18,0.928,0.65,0.1,2.2
CH,2008,2024,17,0.865,0.8,0.4,1.4
ES,2008,2025,18,0.744,0.6,0.1,1.8
CZ,2008,2025,18,0.633,0.55,0.2,1.1
LU,2008,2025,18,0.633,0.6,0.1,1.1
MT,2008,2025,18,0.617,0.5,0.0,1.6
AT,2008,2025,18,0.406,0.35,0.1,1.0
NL,2008,2025,18,0.311,0.3,0.1,0.6
