group,term,coef,se,p_value,nobs,countries,r2
Western/Northern Europe,log_gdp_per_capita,-2.4541795167843388,1.6534062251314283,0.1377247543674741,122,13,0.38912723526673265
Western/Northern Europe,unemployment_rate_pc,0.28375827469061243,0.1518587486865439,0.061683054638116575,122,13,0.38912723526673265
Western/Northern Europe,poverty_or_social_exclusion_pc,-0.2565534343714038,0.13745623282814193,0.06198021442548091,122,13,0.38912723526673265
Western/Northern Europe,government_health_expenditure_gdp_pc,-0.10155883059855182,0.1548508988804975,0.5119211879629005,122,13,0.38912723526673265
Western/Northern Europe,compulsory_health_financing_gdp_pc,-0.46793932671176997,0.22373543842878116,0.03648460436182412,122,13,0.38912723526673265
Eastern/Southern Europe,log_gdp_per_capita,2.107612182619935,3.7963346960098074,0.5787781976236477,160,17,0.21044277993796978
Eastern/Southern Europe,unemployment_rate_pc,0.13254166135120463,0.2295871525915018,0.563733877239463,160,17,0.21044277993796978
Eastern/Southern Europe,poverty_or_social_exclusion_pc,0.12316540866156633,0.11038362182480907,0.2645102228781907,160,17,0.21044277993796978
Eastern/Southern Europe,government_health_expenditure_gdp_pc,1.716030167448231,1.3084269710248588,0.18968161835459885,160,17,0.21044277993796978
Eastern/Southern Europe,compulsory_health_financing_gdp_pc,-2.883068212440689,1.9116432590878198,0.13151300447024797,160,17,0.21044277993796978
