mechanism,estimator,mean_TDI,mean_bias,median_absolute_error,mean_rows,mean_target_distance,estimated_replicates
country_group,complete_case_fe,0.1075,0.0072,0.0271,209.3,0.3946,100
country_group,ipw_fe,0.1098,0.0049,0.0316,209.3,0.3946,100
country_group,mnar_shift_mi_fe,0.0,-0.1497,0.1476,282.0,0.3946,100
country_group,pmm_mi_fe,0.0,-0.1458,0.1466,282.0,0.3946,100
country_group,population_weighted_fe,0.1477,0.1049,0.1153,209.3,0.3946,100
covariate_block,complete_case_fe,0.117,-0.0048,0.0342,184.08,0.3846,100
covariate_block,ipw_fe,0.1171,-0.0045,0.0338,184.08,0.3846,100
covariate_block,mnar_shift_mi_fe,0.0,-0.0028,0.0026,282.0,0.3846,100
covariate_block,pmm_mi_fe,0.0,-0.0026,0.0025,282.0,0.3846,100
covariate_block,population_weighted_fe,0.154,0.1209,0.1197,184.08,0.3846,100
early_year,complete_case_fe,0.1841,-0.0773,0.0773,192.0,0.7388,100
early_year,ipw_fe,0.1841,-0.0794,0.0794,192.0,0.7388,100
early_year,mnar_shift_mi_fe,0.0,-0.2299,0.2303,282.0,0.7388,100
early_year,pmm_mi_fe,0.0,-0.2304,0.2316,282.0,0.7388,100
early_year,population_weighted_fe,0.2218,-0.0427,0.0427,192.0,0.7388,100
eurostat_realistic,complete_case_fe,0.1288,-0.0156,0.0439,174.95,0.4217,100
eurostat_realistic,ipw_fe,0.129,-0.0163,0.0457,174.95,0.4217,100
eurostat_realistic,mnar_shift_mi_fe,0.0,-0.0857,0.0879,282.0,0.4217,100
eurostat_realistic,pmm_mi_fe,0.0,-0.0603,0.0612,282.0,0.4217,100
eurostat_realistic,population_weighted_fe,0.1647,0.104,0.1041,174.95,0.4217,100
mar_observed,complete_case_fe,0.0986,-0.0019,0.0274,204.16,0.339,100
mar_observed,ipw_fe,0.0989,-0.0007,0.0302,204.16,0.339,100
mar_observed,mnar_shift_mi_fe,0.0,-0.1471,0.1464,282.0,0.339,100
mar_observed,pmm_mi_fe,0.0,-0.1419,0.1422,282.0,0.339,100
mar_observed,population_weighted_fe,0.1382,0.1151,0.1144,204.16,0.339,100
mcar,complete_case_fe,0.2974,0.0028,0.1212,67.18,0.9239,100
mcar,ipw_fe,0.2977,0.0035,0.1236,67.18,0.9239,100
mcar,mnar_shift_mi_fe,0.0,-0.1448,0.1434,282.0,0.9239,100
mcar,pmm_mi_fe,0.0,-0.1315,0.1337,282.0,0.9239,100
mcar,population_weighted_fe,0.3166,0.0496,0.1335,67.18,0.9239,100
mnar_high_poverty_unmet,complete_case_fe,0.1277,-0.0164,0.0329,189.22,0.4505,100
mnar_high_poverty_unmet,ipw_fe,0.1287,-0.0065,0.0439,189.22,0.4505,100
mnar_high_poverty_unmet,mnar_shift_mi_fe,0.0,-0.1427,0.14,282.0,0.4505,100
mnar_high_poverty_unmet,pmm_mi_fe,0.0,-0.1483,0.1484,282.0,0.4505,100
mnar_high_poverty_unmet,population_weighted_fe,0.1655,0.1,0.1071,189.22,0.4505,100
